,Timestamp,TxFee,Date
0,1656633600,30.606447,2022-07-01
1,1656720000,113.770692,2022-07-02
2,1656806400,119.866194,2022-07-03
3,1656892800,115.313537,2022-07-04
4,1656979200,128.411444,2022-07-05
5,1657065600,123.204214,2022-07-06
6,1657152000,122.233877,2022-07-07
7,1657238400,116.674267,2022-07-08
8,1657324800,99.192078,2022-07-09
9,1657411200,108.359123,2022-07-10
10,1657497600,110.269591,2022-07-11
11,1657584000,121.885641,2022-07-12
12,1657670400,335.631961,2022-07-13
13,1657756800,137.653487,2022-07-14
14,1657843200,143.901066,2022-07-15
15,1657929600,117.692213,2022-07-16
16,1658016000,120.677231,2022-07-17
17,1658102400,140.052075,2022-07-18
18,1658188800,136.172028,2022-07-19
19,1658275200,113.329305,2022-07-20
20,1658361600,125.500412,2022-07-21
21,1658448000,129.251941,2022-07-22
22,1658534400,121.033475,2022-07-23
23,1658620800,113.302072,2022-07-24
24,1658707200,116.714447,2022-07-25
25,1658793600,114.727539,2022-07-26
26,1658880000,115.132693,2022-07-27
27,1658966400,118.604201,2022-07-28
28,1659052800,114.27247,2022-07-29
29,1659139200,114.061204,2022-07-30
30,1659225600,92.884796,2022-07-31
