,Timestamp,TxFee,Date
0,1640995200,82.699456,2022-01-01
1,1641081600,100.554983,2022-01-02
2,1641168000,120.605818,2022-01-03
3,1641254400,150.007502,2022-01-04
4,1641340800,128.595797,2022-01-05
5,1641427200,103.721348,2022-01-06
6,1641513600,150.775858,2022-01-07
7,1641600000,118.211378,2022-01-08
8,1641686400,113.023955,2022-01-09
9,1641772800,116.230161,2022-01-10
10,1641859200,125.407508,2022-01-11
11,1641945600,117.465676,2022-01-12
12,1642032000,120.875747,2022-01-13
13,1642118400,123.568186,2022-01-14
14,1642204800,123.782446,2022-01-15
15,1642291200,147.091819,2022-01-16
16,1642377600,145.392367,2022-01-17
17,1642464000,187.182547,2022-01-18
18,1642550400,161.481364,2022-01-19
19,1642636800,164.523888,2022-01-20
20,1642723200,155.042417,2022-01-21
21,1642809600,127.766406,2022-01-22
22,1642896000,115.697651,2022-01-23
23,1642982400,113.123517,2022-01-24
24,1643068800,116.161557,2022-01-25
25,1643155200,111.671761,2022-01-26
26,1643241600,105.409113,2022-01-27
27,1643328000,115.089955,2022-01-28
28,1643414400,111.167623,2022-01-29
29,1643500800,111.958747,2022-01-30
30,1643587200,31.798158,2022-01-31
