,Metric,Yield
0,P_ATOM,0.4204136321621405
1,M_ATOM,0.4189430601417125
2,P_OSMO,0.4240362373947939
3,M_OSMO,0.4670832232470154
4,P_JUNO,0.3534369751515824
5,M_JUNO,0.3719547065171031
6,P_ROWAN,-0.0318950562135214
7,M_ROWAN,-0.0644629568881036
8,P_EVMOS,0.6294906239558342
9,M_EVMOS,0.7263395943902524
10,P_STARS,0.2184357521626421
11,M_STARS,0.0670440232535458
12,P_AKASH,0.7154536948710906
13,M_AKASH,0.7337957589711412
14,P_SECRET,0.2496590544430077
15,M_SECRET,0.2812820590682343
16,P_KAVA,0.8219087933249118
17,M_KAVA,0.9683313645800876
18,P_ETH,0.3269571889874609
19,M_ETH,0.3352333561261071
20,P_BTC,0.3957769271656843
21,M_BTC,0.3998588731810972
